iter	Passed	Remaining
210	600	2245
211	603	2241
212	605	2238
213	608	2233
214	610	2229
215	612	2224
216	615	2219
217	617	2214
218	620	2211
219	622	2208
220	625	2204
221	628	2202
222	631	2199
223	633	2196
224	636	2191
225	639	2188
226	641	2185
227	644	2182
228	647	2178
229	649	2175
230	652	2171
231	654	2167
232	657	2163
233	659	2160
234	662	2156
235	665	2154
236	669	2153
237	672	2153
238	676	2153
239	679	2152
240	683	2152
241	687	2153
242	690	2152
243	694	2150
244	697	2148
245	700	2147
246	703	2145
247	706	2141
248	708	2138
249	711	2135
250	714	2133
251	717	2129
252	720	2125
253	722	2122
254	725	2118
255	727	2115
256	730	2111
257	733	2108
258	735	2104
259	737	2100
260	740	2096
261	743	2093
262	745	2089
263	748	2085
264	750	2081
265	753	2078
266	755	2074
267	758	2071
268	761	2068
269	763	2064
270	766	2060
271	768	2057
272	771	2055
273	774	2052
274	777	2049
275	780	2046
276	782	2042
277	785	2039
278	790	2042
279	793	2039
280	795	2035
281	798	2032
282	801	2030
283	804	2027
284	806	2023
285	808	2019
286	811	2014
287	813	2011
288	816	2008
289	818	2004
290	821	2000
291	823	1997
292	826	1993
293	828	1989
294	831	1986
295	833	1982
296	835	1978
297	838	1975
298	841	1972
299	844	1969
300	847	1968
301	849	1963
302	852	1960
303	854	1956
304	857	1953
305	859	1950
306	862	1947
307	865	1944
308	868	1942
309	871	1939
310	873	1936
311	876	1933
312	879	1930
313	882	1928
314	885	1925
315	888	1922
316	890	1919
317	893	1916
318	896	1914
319	899	1911
320	902	1908
321	904	1905
322	907	1902
323	909	1898
324	912	1894
325	914	1891
326	917	1887
327	919	1884
328	922	1881
329	925	1878
330	927	1874
331	929	1871
332	932	1867
333	934	1864
334	937	1860
335	939	1857
336	942	1853
337	944	1850
338	947	1847
339	950	1844
340	952	1840
341	954	1837
342	957	1833
343	960	1830
344	962	1827
345	965	1825
346	968	1822
347	970	1819
348	973	1816
349	976	1813
350	979	1810
351	982	1808
352	985	1805
353	988	1802
354	990	1800
355	993	1797
356	996	1794
357	999	1791
358	1002	1789
359	1004	1785
360	1007	1782
361	1009	1779
362	1012	1775
363	1014	1772
364	1017	1769
365	1019	1766
366	1021	1762
367	1024	1759
368	1026	1755
369	1029	1752
370	1031	1748
371	1033	1745
372	1036	1742
373	1038	1738
374	1041	1735
375	1043	1732
376	1046	1729
377	1048	1726
378	1051	1722
379	1053	1719
380	1056	1716
381	1058	1713
382	1061	1710
383	1063	1706
384	1066	1704
385	1069	1701
386	1072	1698
387	1075	1696
388	1078	1693
389	1080	1690
390	1083	1687
391	1086	1684
392	1088	1681
393	1091	1678
394	1093	1675
395	1096	1672
396	1098	1668
397	1101	1665
398	1103	1662
399	1106	1659
400	1109	1656
401	1111	1653
402	1113	1650
403	1116	1646
404	1119	1644
405	1121	1641
406	1124	1638
407	1127	1635
408	1129	1632
409	1132	1629
410	1134	1626
411	1137	1622
412	1139	1619
413	1141	1616
414	1144	1613
415	1146	1610
416	1149	1606
417	1151	1603
418	1154	1600
419	1156	1597
420	1159	1594
421	1162	1592
422	1165	1590
423	1168	1587
424	1171	1584
425	1174	1581
426	1176	1579
427	1179	1576
428	1182	1574
429	1186	1572
430	1190	1571
431	1194	1570
432	1197	1568
433	1200	1566
434	1204	1564
435	1207	1561
436	1210	1559
437	1213	1557
438	1217	1555
439	1220	1553
440	1223	1551
441	1226	1548
442	1229	1545
443	1232	1543
444	1235	1540
445	1238	1537
446	1240	1535
447	1243	1532
448	1246	1529
449	1249	1526
450	1252	1524
451	1255	1521
452	1257	1519
453	1260	1516
454	1263	1513
455	1266	1510
456	1269	1508
457	1271	1505
458	1275	1502
459	1277	1499
460	1280	1497
461	1283	1494
462	1286	1491
463	1288	1488
464	1291	1485
465	1293	1482
466	1296	1479
467	1298	1476
468	1301	1473
469	1304	1471
470	1307	1468
471	1309	1465
472	1312	1462
473	1314	1459
474	1317	1456
475	1320	1453
476	1322	1450
477	1325	1447
478	1327	1444
479	1330	1441
480	1332	1438
481	1335	1435
482	1337	1432
483	1340	1429
484	1342	1426
485	1345	1423
486	1348	1420
487	1350	1417
488	1353	1414
489	1356	1411
490	1359	1408
491	1361	1406
492	1364	1403
493	1367	1400
494	1370	1398
495	1373	1395
496	1375	1392
497	1378	1389
498	1380	1386
499	1383	1383
500	1386	1381
501	1389	1378
502	1392	1376
503	1395	1373
504	1398	1370
505	1401	1367
506	1403	1364
507	1406	1361
508	1408	1358
509	1410	1355
510	1413	1352
511	1416	1349
512	1418	1346
513	1421	1343
514	1423	1340
515	1426	1337
516	1428	1334
517	1430	1331
518	1433	1328
519	1435	1325
520	1438	1322
521	1441	1319
522	1443	1316
523	1445	1313
524	1448	1310
525	1450	1307
526	1453	1304
527	1455	1301
528	1458	1298
529	1460	1295
530	1463	1292
531	1465	1289
532	1468	1286
533	1470	1283
534	1473	1280
535	1475	1277
536	1478	1275
537	1481	1272
538	1484	1269
539	1486	1266
540	1489	1263
541	1491	1260
542	1494	1257
543	1497	1255
544	1500	1252
545	1502	1249
546	1505	1246
547	1507	1243
548	1510	1240
549	1513	1238
550	1515	1234
551	1518	1232
552	1520	1229
553	1523	1226
554	1526	1223
555	1528	1220
556	1531	1218
557	1534	1215
558	1536	1212
559	1539	1209
560	1542	1206
561	1545	1204
562	1547	1201
563	1550	1198
564	1553	1195
565	1555	1192
566	1558	1189
567	1560	1186
568	1563	1184
569	1565	1181
570	1568	1178
571	1571	1175
572	1574	1173
573	1576	1170
574	1579	1167
575	1581	1164
576	1584	1161
577	1586	1158
578	1589	1155
579	1592	1152
580	1595	1150
581	1597	1147
582	1600	1144
583	1602	1141
584	1605	1139
585	1608	1136
586	1611	1133
587	1614	1130
588	1617	1128
589	1619	1125
590	1622	1122
591	1625	1120
592	1627	1117
593	1630	1114
594	1633	1111
595	1636	1109
596	1638	1106
597	1641	1103
598	1644	1100
599	1647	1098
600	1650	1095
601	1653	1092
602	1655	1090
603	1658	1087
604	1660	1084
605	1663	1081
606	1666	1078
607	1668	1075
608	1671	1073
609	1673	1070
610	1676	1067
611	1678	1064
612	1681	1061
613	1683	1058
614	1686	1055
615	1689	1053
616	1691	1050
617	1694	1047
618	1697	1044
619	1700	1041
620	1702	1039
621	1705	1036
622	1708	1033
623	1711	1031
624	1714	1028
625	1717	1026
626	1720	1023
627	1722	1020
628	1725	1017
629	1728	1015
630	1731	1012
631	1733	1009
632	1737	1007
633	1750	1010
634	1753	1007
635	1755	1004
636	1757	1001
637	1759	998
638	1762	995
639	1765	992
640	1767	989
641	1770	987
642	1773	984
643	1775	981
644	1778	978
645	1781	976
646	1784	973
647	1787	970
648	1790	968
649	1793	965
650	1795	962
651	1798	960
652	1801	957
653	1804	954
654	1807	951
655	1810	949
656	1813	946
657	1815	943
658	1818	940
659	1821	938
660	1823	935
661	1827	932
662	1829	930
663	1832	927
664	1835	924
665	1837	921
666	1840	918
667	1843	916
668	1845	913
669	1848	910
670	1850	907
671	1853	904
672	1855	901
673	1858	898
674	1860	896
675	1863	893
676	1866	890
677	1868	887
678	1871	884
679	1874	881
680	1876	879
681	1879	876
682	1882	873
683	1884	870
684	1887	867
685	1890	865
686	1892	862
687	1894	859
688	1897	856
689	1899	853
690	1902	850
691	1904	847
692	1907	844
693	1909	841
694	1912	839
695	1914	836
696	1917	833
697	1920	830
698	1923	828
699	1926	825
700	1935	825
701	1938	822
702	1940	819
703	1943	816
704	1945	814
705	1948	811
706	1950	808
707	1953	805
708	1956	802
709	1959	800
710	1962	797
711	1965	795
712	1968	792
713	1970	789
714	1973	786
715	1976	783
716	1978	781
717	1982	778
718	1985	776
719	1989	773
720	1993	771
721	1996	768
722	1999	766
723	2002	763
724	2005	760
725	2007	757
726	2010	755
727	2013	752
728	2015	749
729	2018	746
730	2021	743
731	2023	740
732	2026	738
733	2028	735
734	2030	732
735	2033	729
736	2035	726
737	2038	723
738	2041	720
739	2043	718
740	2045	715
741	2048	712
742	2050	709
743	2053	706
744	2055	703
745	2058	700
746	2061	698
747	2064	695
748	2067	692
749	2071	690
750	2074	687
751	2077	685
752	2080	682
753	2083	679
754	2086	676
755	2088	674
756	2091	671
757	2094	668
758	2096	665
759	2099	662
760	2102	660
761	2104	657
762	2107	654
763	2110	651
764	2112	649
765	2115	646
766	2118	643
767	2121	640
768	2124	638
769	2127	635
770	2130	632
771	2133	630
772	2136	627
773	2139	624
774	2142	622
775	2145	619
776	2148	616
777	2152	614
778	2155	611
779	2158	608
780	2161	606
781	2165	603
782	2168	600
783	2171	598
784	2173	595
785	2176	592
786	2179	589
787	2182	587
788	2185	584
789	2188	581
790	2191	578
791	2193	576
792	2196	573
793	2199	570
794	2202	567
795	2205	565
796	2207	562
797	2210	559
798	2213	556
799	2216	554
800	2226	553
801	2229	550
802	2231	547
803	2234	544
804	2236	541
805	2239	539
806	2242	536
807	2244	533
808	2247	530
809	2249	527
810	2252	525
811	2255	522
812	2258	519
813	2260	516
814	2263	513
815	2266	511
816	2269	508
817	2272	505
818	2275	502
819	2278	500
820	2281	497
821	2284	494
822	2287	491
823	2290	489
824	2293	486
825	2295	483
826	2298	480
827	2301	477
828	2303	475
829	2305	472
830	2308	469
831	2311	466
832	2313	463
833	2316	460
834	2318	458
835	2321	455
836	2324	452
837	2327	449
838	2329	447
839	2332	444
840	2335	441
841	2338	438
842	2341	435
843	2343	433
844	2346	430
845	2350	427
846	2353	425
847	2356	422
848	2358	419
849	2361	416
850	2364	414
851	2367	411
852	2370	408
853	2373	405
854	2376	403
855	2379	400
856	2382	397
857	2385	394
858	2388	392
859	2391	389
860	2393	386
861	2397	383
862	2400	381
863	2403	378
864	2406	375
865	2409	372
866	2412	370
867	2415	367
868	2417	364
869	2420	361
870	2423	358
871	2426	356
872	2429	353
873	2431	350
874	2434	347
875	2437	345
876	2440	342
877	2443	339
878	2446	336
879	2449	334
880	2452	331
881	2455	328
882	2457	325
883	2460	322
884	2463	320
885	2466	317
886	2469	314
887	2472	311
888	2475	309
889	2478	306
890	2482	303
891	2484	300
892	2487	298
893	2490	295
894	2493	292
895	2496	289
896	2499	286
897	2502	284
898	2504	281
899	2507	278
900	2510	275
901	2513	273
902	2516	270
903	2518	267
904	2521	264
905	2524	261
906	2526	259
907	2529	256
908	2531	253
909	2534	250
910	2536	247
911	2539	245
912	2542	242
913	2544	239
914	2547	236
915	2550	233
916	2552	231
917	2555	228
918	2558	225
919	2561	222
920	2564	219
921	2566	217
922	2569	214
923	2572	211
924	2575	208
925	2577	206
926	2580	203
927	2583	200
928	2586	197
929	2589	194
930	2592	192
931	2594	189
932	2597	186
933	2600	183
934	2602	180
935	2605	178
936	2608	175
937	2610	172
938	2613	169
939	2616	166
940	2619	164
941	2622	161
942	2625	158
943	2628	155
944	2631	153
945	2633	150
946	2636	147
947	2639	144
948	2642	142
949	2645	139
950	2648	136
951	2651	133
952	2653	130
953	2656	128
954	2659	125
955	2677	123
956	2680	120
957	2682	117
958	2685	114
959	2687	111
960	2690	109
961	2692	106
962	2694	103
963	2697	100
964	2700	97
965	2703	95
966	2705	92
967	2708	89
968	2711	86
969	2714	83
970	2716	81
971	2719	78
972	2722	75
973	2725	72
974	2727	69
975	2730	67
976	2733	64
977	2735	61
978	2738	58
979	2741	55
980	2744	53
981	2746	50
982	2749	47
983	2751	44
984	2754	41
985	2757	39
986	2760	36
987	2762	33
988	2765	30
989	2768	27
990	2770	25
991	2773	22
992	2775	19
993	2778	16
994	2780	13
995	2783	11
996	2786	8
997	2788	5
998	2791	2
999	2794	0
